,Astrocyte,Endothelial,Ependymal,Excitatory,Inhibitory,Microglia,OD Immature,OD Mature,Pericytes
spot179,0.02223649,3.1580585e-06,8.3812e-06,0.06481602,0.83289546,2.8974475e-06,0.011138974,0.06889682,1.8223136e-06
spot180,0.24677372,8.165393e-06,0.00017987753,0.64719194,0.09157768,2.5632506e-05,4.9584046e-06,0.012773209,0.0014647294
spot181,3.4091838e-05,5.3842373e-06,1.07191045e-05,0.99063283,1.5323187e-05,4.3908813e-06,4.4207713e-06,1.7756614e-06,0.009291048
spot182,6.5351323e-06,1.0381471e-05,3.2028765e-06,0.97259146,2.2225324e-05,0.003800278,3.07214e-05,0.01817361,0.005361426
spot183,3.6662625e-06,4.007574e-06,3.803162e-06,0.2461935,0.5153524,0.23843127,5.7032007e-06,2.9860432e-06,2.625769e-06
spot184,1.599673e-06,0.028647734,2.850635e-06,0.54029727,0.39404857,0.016269648,1.4304473e-05,0.0085300775,0.012187911
spot185,0.39650148,1.02411805e-05,0.035237625,0.4028151,0.056019202,4.3442037e-06,0.060376033,0.036697224,0.012338735
spot186,0.01580421,0.016887996,7.697694e-06,0.24559359,0.68395424,1.3998106e-05,0.017323842,0.020412361,2.1570265e-06
spot187,0.009357865,0.028488897,6.9476896e-06,0.03727247,0.09346796,0.031182498,0.8002175,2.6532846e-06,3.1846787e-06
spot188,0.8126734,0.012046509,3.5604764e-05,0.09660439,0.00043791387,0.011777292,8.03352e-06,0.045487862,0.020928938
spot190,6.4465225e-06,0.019056791,5.572124e-06,0.47073588,0.099201925,0.013831801,0.3378424,0.059313346,5.76725e-06
spot191,0.26155525,1.3323278e-05,0.059164297,4.7145317e-05,0.59013575,0.011143602,1.4562973e-05,0.059095506,0.018830562
spot192,0.05268398,0.81647563,9.770958e-06,0.061713982,2.3443863e-05,7.256063e-06,0.06908039,2.3701455e-06,3.2080723e-06
spot193,0.08622126,1.5559119e-05,0.00027417764,0.047158267,0.86242414,0.0038811176,5.6603462e-06,1.6661486e-05,3.1611687e-06
spot194,0.01026755,0.0037234311,0.040822055,0.21476518,0.66295475,0.05645537,2.35452e-05,0.010979064,8.989797e-06
spot195,8.805919e-06,0.5601923,0.008063049,0.0011535231,0.37820512,4.9210344e-06,8.6322525e-06,0.017984925,0.034378782
spot196,0.7269274,8.342731e-06,1.3155866e-05,1.8180384e-05,1.7492774e-05,0.2504349,8.018883e-06,6.546592e-06,0.022565966
spot197,0.35260627,1.5916947e-05,0.123327166,3.9413615e-05,0.15102446,0.010555288,0.27207366,0.05530171,0.035056088
spot198,0.8949634,2.411608e-05,5.2033294e-05,6.37427e-05,0.08413158,0.0003317088,0.00013471788,6.4993396e-06,0.020292189
